[I 2026-09-11 12:21:07,189] A new study created in RDB with name: chime_first_svae_opt
[I 2026-09-11 12:34:08,679] Trial 44 finished with value: 0.8807017543859649 and parameters: {'hidden_dim': 1108, 'latent_dim': 9, 'beta': 0.9227121855457894, 'gamma': 0.7164581687301652, 'dropout_rate': 0.16350633711244644, 'lr': 0.0076202522814496, 'scheduler_patience': 3, 'class_weight': 0.11585659405459903, 'activation': 'ELU', 'classification_multiplier': 10981.125933741945}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:34:24,944] Trial 45 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 959, 'latent_dim': 6, 'beta': 1.4947549799125277, 'gamma': 0.6283013466648479, 'dropout_rate': 0.1335853987007129, 'lr': 0.008582247705683459, 'scheduler_patience': 2, 'class_weight': 0.5837791989124441, 'activation': 'ELU', 'classification_multiplier': 9740.99444573313}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:34:41,803] Trial 46 finished with value: 0.9210526315789473 and parameters: {'hidden_dim': 1451, 'latent_dim': 11, 'beta': 0.8485447540654566, 'gamma': 1.8903364913521221, 'dropout_rate': 0.2084599714202797, 'lr': 0.0075392573266170795, 'scheduler_patience': 3, 'class_weight': 0.4773603599345486, 'activation': 'ELU', 'classification_multiplier': 10288.209692943334}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:34:57,663] Trial 47 finished with value: 0.9105263157894736 and parameters: {'hidden_dim': 219, 'latent_dim': 13, 'beta': 0.6064148298854831, 'gamma': 0.5505774477036989, 'dropout_rate': 0.1072885567697579, 'lr': 0.003978476833356986, 'scheduler_patience': 3, 'class_weight': 0.6901849264527853, 'activation': 'ReLU', 'classification_multiplier': 10879.902317011944}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:35:13,671] Trial 48 finished with value: 0.9228070175438597 and parameters: {'hidden_dim': 434, 'latent_dim': 7, 'beta': 0.412854162958139, 'gamma': 0.3860037568038872, 'dropout_rate': 0.34897482327544055, 'lr': 0.006894695896777433, 'scheduler_patience': 5, 'class_weight': 0.5638952799200638, 'activation': 'ELU', 'classification_multiplier': 12781.844192910514}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:35:29,742] Trial 49 finished with value: 0.9070175438596492 and parameters: {'hidden_dim': 587, 'latent_dim': 10, 'beta': 1.7054281450799682, 'gamma': 1.647420436657491, 'dropout_rate': 0.16155466909618924, 'lr': 0.003427352569718934, 'scheduler_patience': 7, 'class_weight': 0.8634686946679433, 'activation': 'LeakyReLU', 'classification_multiplier': 11464.583529289243}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:35:45,943] Trial 50 finished with value: 0.9245614035087719 and parameters: {'hidden_dim': 908, 'latent_dim': 12, 'beta': 1.8891178017919017, 'gamma': 1.066136838679477, 'dropout_rate': 0.12190210903103066, 'lr': 0.009097358183290605, 'scheduler_patience': 2, 'class_weight': 0.41778252889166695, 'activation': 'ELU', 'classification_multiplier': 9518.719256741619}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:36:02,108] Trial 51 finished with value: 0.9175438596491228 and parameters: {'hidden_dim': 891, 'latent_dim': 11, 'beta': 1.8533998607268445, 'gamma': 1.1180791677740975, 'dropout_rate': 0.12137201177174141, 'lr': 0.00918101784029252, 'scheduler_patience': 2, 'class_weight': 0.3957627100481206, 'activation': 'ELU', 'classification_multiplier': 9526.962682149842}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:36:18,430] Trial 52 finished with value: 0.9105263157894736 and parameters: {'hidden_dim': 1007, 'latent_dim': 15, 'beta': 1.907345178623264, 'gamma': 1.280377213001898, 'dropout_rate': 0.1760186105931265, 'lr': 0.009199850817657909, 'scheduler_patience': 2, 'class_weight': 0.33856879388051664, 'activation': 'ELU', 'classification_multiplier': 9996.798036429878}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:36:34,660] Trial 53 finished with value: 0.9087719298245615 and parameters: {'hidden_dim': 741, 'latent_dim': 8, 'beta': 1.7905986306893587, 'gamma': 0.835092784182152, 'dropout_rate': 0.10429783588646965, 'lr': 0.008253639178180481, 'scheduler_patience': 2, 'class_weight': 0.29522888765292876, 'activation': 'ELU', 'classification_multiplier': 9009.149361256581}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:36:51,112] Trial 54 finished with value: 0.9228070175438597 and parameters: {'hidden_dim': 1137, 'latent_dim': 13, 'beta': 1.6156895195661305, 'gamma': 1.0783169204992673, 'dropout_rate': 0.15182195844494753, 'lr': 0.006416440751802925, 'scheduler_patience': 3, 'class_weight': 0.4875747416073802, 'activation': 'ELU', 'classification_multiplier': 8682.375942527779}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:37:07,795] Trial 55 finished with value: 0.9140350877192982 and parameters: {'hidden_dim': 1319, 'latent_dim': 25, 'beta': 1.8998901760200928, 'gamma': 0.6741679030405745, 'dropout_rate': 0.12403869216364316, 'lr': 0.009957203558027431, 'scheduler_patience': 3, 'class_weight': 0.4363946794252825, 'activation': 'ELU', 'classification_multiplier': 8142.077630533305}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:37:24,228] Trial 56 finished with value: 0.8912280701754387 and parameters: {'hidden_dim': 1264, 'latent_dim': 6, 'beta': 1.7172463090816577, 'gamma': 1.1796877009483702, 'dropout_rate': 0.1949994370842551, 'lr': 0.007832975443082755, 'scheduler_patience': 2, 'class_weight': 0.37822756060721985, 'activation': 'SELU', 'classification_multiplier': 10093.639673125625}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:37:40,257] Trial 57 finished with value: 0.9263157894736841 and parameters: {'hidden_dim': 501, 'latent_dim': 9, 'beta': 1.9440881900863856, 'gamma': 0.9906828280431145, 'dropout_rate': 0.3841996249693928, 'lr': 0.0050370887273721065, 'scheduler_patience': 3, 'class_weight': 0.4406439453152639, 'activation': 'ELU', 'classification_multiplier': 9545.216605342219}. Best is trial 24 with value: 0.9263157894736841.
