Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20000622B,Parkes,No,00:49:18.0,,-74:24:31.0,,303.1274,-42.7187,1013,43.9,31.7,https://doi.org/10.1093/mnras/stab2275
FRB20000622C,Parkes,No,00:53:05.0,,-73:59:53.0,,302.7763,-43.1297,382.5,43.7,31.3,https://doi.org/10.1093/mnras/stab2275
FRB20001109A,Parkes,No,01:35:18.0,,-72:01:17.0,,298.1937,-44.701,528.9,41.8,30.1,https://doi.org/10.1093/mnras/stab2275
FRB20010612A,Parkes,No,01:39:32.0,,-75:01:24.0,,298.7958,-41.7163,422.9,44.6,32.9,https://doi.org/10.1093/mnras/stab2275
FRB20010303A,Parkes,No,04:09:10.0,,-44:29:06.0,,250.1791,-47.0918,214.8,37.1,29,https://doi.org/10.1093/mnras/stab2275
FRB20000928A,Parkes,No,04:46:50.0,,-67:15:29.0,,278.5401,-36.763,853,47.4,47.2,https://doi.org/10.1093/mnras/stab2275
FRB19980624A,Parkes,No,04:53:38.0,,-53:49:47.0,,261.6881,-38.7817,211.4,43.4,36.2,https://doi.org/10.1093/mnras/stab2275
FRB20010509A,Parkes,No,05:00:04.0,,-67:55:11.0,,278.8776,-35.3649,592.3,49.2,50.8,https://doi.org/10.1093/mnras/stab2275
FRB20001123A,Parkes,No,05:00:40.0,,-64:57:46.0,,275.3282,-36.0277,368.6,47.8,48,https://doi.org/10.1093/mnras/stab2275
FRB20000925A,Parkes,No,05:09:55.0,,-69:59:49.0,,281.0488,-33.9843,206.6,51.4,54.6,https://doi.org/10.1093/mnras/stab2275
FRB20001222A,Parkes,No,05:31:52.0,,-66:44:56.0,,276.794,-32.58,508.9,52.6,58.3,https://doi.org/10.1093/mnras/stab2275
FRB20010316A,Parkes,No,05:34:42.0,,-37:02:41.0,,241.857,-30.5389,478.5,49.5,45.8,https://doi.org/10.1093/mnras/stab2275
FRB20010819A,Parkes,No,05:38:49.0,,-28:10:59.0,,232.3412,-27.373,114.2,53.1,54.8,https://doi.org/10.1093/mnras/stab2275
FRB20010215A,Parkes,No,05:51:45.0,,-71:14:01.0,,281.8149,-30.3626,1131.4,57.5,66.4,https://doi.org/10.1093/mnras/stab2275
FRB20010123A,Parkes,No,07:54:30.0,,-67:04:34.0,,279.5738,-19.0124,165.1,92.3,154.6,https://doi.org/10.1093/mnras/stab2275
FRB20001117A,Parkes,No,08:19:18.0,,-38:38:28.0,,256.498,-1.4149,579.9,398.2,476.4,https://doi.org/10.1093/mnras/stab2275
FRB20010625A,Parkes,No,08:59:42.0,,-22:19:07.0,,248.5657,15.3049,479.7,94.3,75.7,https://doi.org/10.1093/mnras/stab2275
FRB19970528A,Parkes,No,09:02:03.0,,-46:14:24.0,,267.3188,0.1615,485.1,452,449.4,https://doi.org/10.1093/mnras/stab2275
FRB20010125C,Parkes,No,09:46:17.0,,-79:27:25.0,,294.8606,-19.6185,210.2,97.9,108.3,https://doi.org/10.1093/mnras/stab2275
FRB20010122D,Parkes,No,09:47:36.0,,-28:51:31.0,,261.2568,18.7724,189.7,85.5,155.1,https://doi.org/10.1093/mnras/stab2275
FRB20010818A,Parkes,No,09:56:44.0,,-14:50:39.0,,252.2568,30.3595,64,54.4,41.8,https://doi.org/10.1093/mnras/stab2275
FRB20010621B,Parkes,No,10:01:49.0,,-13:54:00.0,,252.4855,31.8966,163.5,52.3,40,https://doi.org/10.1093/mnras/stab2275
FRB20010127B,Parkes,No,10:20:02.0,,-32:24:18.0,,269.3747,20.4247,126.8,82.7,84.6,https://doi.org/10.1093/mnras/stab2275
FRB20010823A,Parkes,No,10:30:27.0,,+00:25:28.0,,246.2259,46.339,114.8,39.4,28.1,https://doi.org/10.1093/mnras/stab2275
FRB20010815A,Parkes,No,10:39:41.0,,+09:16:00.0,,236.526,54.156,646.3,35.5,24.4,https://doi.org/10.1093/mnras/stab2275
FRB20010127A,Parkes,No,10:52:59.0,,-43:03:39.0,,281.016,14.714,171.9,124.1,148.1,https://doi.org/10.1093/mnras/stab2275
FRB20010128B,Parkes,No,10:58:43.0,,-81:05:48.0,,298.4931,-19.2126,225.9,102.1,104,https://doi.org/10.1093/mnras/stab2275
FRB20010705A,Parkes,No,11:29:53.0,,-42:24:36.0,,287.2459,17.9645,225.4,104.7,124.5,https://doi.org/10.1093/mnras/stab2275
FRB20010122C,Parkes,No,11:41:06.0,,-45:10:08.0,,290.1351,15.9479,294.9,121.5,144.9,https://doi.org/10.1093/mnras/stab2275
FRB20010122E,Parkes,No,11:43:21.0,,-42:29:47.0,,289.7661,18.6279,216.8,102.3,115.4,https://doi.org/10.1093/mnras/stab2275
FRB20010125B,Parkes,No,12:11:13.0,,-43:30:58.0,,295.25,18.755,751.2,104.5,105,https://doi.org/10.1093/mnras/stab2275
FRB20010122F,Parkes,No,12:25:51.0,,-45:27:48.0,,298.2425,17.1754,193.6,116.9,112.6,https://doi.org/10.1093/mnras/stab2275
FRB20000210A,Parkes,No,12:27:03.0,,-58:4:15.0,,299.7024,4.6478,513.7,399.2,330.4,https://doi.org/10.1093/mnras/stab2275
FRB20000118A,Parkes,No,12:50:21.0,,-66:29:33.0,,302.8232,-3.6211,829.6,470.5,539,https://doi.org/10.1093/mnras/stab2275
FRB20010121B,Parkes,No,12:58:20.0,,-82:06:12.0,,303.1827,-19.2349,103.6,104.2,96.2,https://doi.org/10.1093/mnras/stab2275
FRB20010630E,Parkes,No,13:03:53.0,,-42:35:23.0,,305.3747,20.2227,104.4,100.2,83.8,https://doi.org/10.1093/mnras/stab2275
FRB20010630A,Parkes,No,13:11:18.0,,-43:45:03.0,,306.7254,18.9745,169,108.4,89.7,https://doi.org/10.1093/mnras/stab2275
FRB20000115A,Parkes,No,13:22:07.0,,-57:44:24.0,,307.033,4.887,440.3,406.4,283.2,https://doi.org/10.1093/mnras/stab2275
FRB19990514A,Parkes,No,13:23:24.0,,-55:17:47.0,,307.5104,7.2908,257.9,297.6,214.8,https://doi.org/10.1093/mnras/stab2275
FRB19990427A,Parkes,No,13:42:01.0,,-59:25:54.0,,309.3325,2.8099,905.5,573,468.8,https://doi.org/10.1093/mnras/stab2275
FRB20010703C,Parkes,No,13:54:02.0,,-45:58:54.0,,314.1499,15.5221,256.5,140.2,106.1,https://doi.org/10.1093/mnras/stab2275
FRB20010116A,Parkes,No,14:02:32.0,,-40:39:59.0,,317.2193,20.2243,131.7,104.3,78.7,https://doi.org/10.1093/mnras/stab2275
FRB19990511B,Parkes,No,14:12:21.0,,-72:36:22.0,,308.9706,-10.69,410,206.3,175.6,https://doi.org/10.1093/mnras/stab2275
FRB20010116B,Parkes,No,14:17:04.0,,-43:37:31.0,,318.933,16.57,102.1,131.6,96.9,https://doi.org/10.1093/mnras/stab2275
FRB20010116C,Parkes,No,14:19:21.0,,-42:10:49.0,,319.866,17.782,107.9,124,89.8,https://doi.org/10.1093/mnras/stab2275
FRB19990512B,Parkes,No,14:31:12.0,,-49:00:21.0,,319.283,10.6721,206.6,215.5,147.1,https://doi.org/10.1093/mnras/stab2275
FRB20010116D,Parkes,No,14:34:29.0,,-43:56:08.0,,321.85,15.118,202.1,147.3,105.1,https://doi.org/10.1093/mnras/stab2275
FRB20000521A,Parkes,No,14:56:40.0,,-63:35:14.0,,316.3317,-4.0225,473.3,466.9,472.6,https://doi.org/10.1093/mnras/stab2275
FRB20010630F,Parkes,No,15:26:52.0,,-80:18:18.0,,309.3652,-19.4369,172.4,105.6,88.7,https://doi.org/10.1093/mnras/stab2275
FRB20010128A,Parkes,No,15:41:23.0,,-31:43:25.0,,340.2388,18.5704,141.8,114.5,82.5,https://doi.org/10.1093/mnras/stab2275
FRB19990513A,Parkes,No,16:41:47.0,,-37:06:29.0,,345.5438,6.0461,581.6,408.3,240,https://doi.org/10.1093/mnras/stab2275
FRB20010116E,Parkes,No,16:43:14.0,,-19:35:59.0,,359.533,16.974,112.8,127.9,91.1,https://doi.org/10.1093/mnras/stab2275
FRB20001116A,Parkes,No,16:44:40.0,,-39:29:44.0,,344.0986,4.0596,382.9,580.2,326.6,https://doi.org/10.1093/mnras/stab2275
FRB19990124A,Parkes,No,16:52:51.0,,-57:45:02.0,,330.9088,-8.6695,378.4,277.3,187.5,https://doi.org/10.1093/mnras/stab2275
FRB20001118A,Parkes,No,17:04:59.0,,-49:51:28.0,,338.3,-5.254,730.2,460,305.5,https://doi.org/10.1093/mnras/stab2275
FRB20010122B,Parkes,No,17:07:24.0,,-67:04:11.0,,324.2434,-15.5397,364,143.5,104.4,https://doi.org/10.1093/mnras/stab2275
FRB20010122A,Parkes,No,17:09:25.0,,-64:33:42.0,,326.516,-14.31,128.6,158.5,112.8,https://doi.org/10.1093/mnras/stab2275
FRB20010121A,Parkes,No,17:28:16.0,,-69:20:20.0,,323.2714,-18.373,139.5,117.6,87.8,https://doi.org/10.1093/mnras/stab2275
FRB20000529A,Parkes,No,17:34:29.0,,-40:33:34.0,,348.9261,-4.2281,374.3,568.7,344.4,https://doi.org/10.1093/mnras/stab2275
FRB20010706A,Parkes,No,17:36:46.0,,-02:05:32.0,,22.2654,15.544,197.4,133.1,115.3,https://doi.org/10.1093/mnras/stab2275
FRB20010619A,Parkes,No,17:49:34.0,,-16:47:60.0,,10.886,5.4744,319.5,442.2,273.5,https://doi.org/10.1093/mnras/stab2275
FRB20010702C,Parkes,No,17:50:37.0,,+11:54:00.0,,36.961,18.8087,182.3,94.1,73.3,https://doi.org/10.1093/mnras/stab2275
FRB19990512A,Parkes,No,17:54:44.0,,+00:38:20.0,,25.7841,12.2891,210.2,171.4,123.2,https://doi.org/10.1093/mnras/stab2275
FRB20010703A,Parkes,No,17:58:05.0,,+18:26:49.0,,44.0764,19.8187,226.7,83.6,67,https://doi.org/10.1093/mnras/stab2275
FRB20010704A,Parkes,No,18:03:29.0,,+14:17:36.0,,40.6204,16.958,212.5,103,81.1,https://doi.org/10.1093/mnras/stab2275
FRB19990513B,Parkes,No,18:08:16.0,,+00:42:06.0,,28.5961,9.9168,147.7,214.3,146.8,https://doi.org/10.1093/mnras/stab2275
FRB20010630D,Parkes,No,18:10:50.0,,+22:27:12.0,,49.2113,18.6067,82.4,86.2,70,https://doi.org/10.1093/mnras/stab2275
FRB20010630C,Parkes,No,18:15:50.0,,+21:33:42.0,,48.8172,17.1936,187.1,94.1,76.9,https://doi.org/10.1093/mnras/stab2275
FRB20010703B,Parkes,No,18:18:34.0,,+19:56:02.0,,47.5212,15.9633,177.1,103.4,84.4,https://doi.org/10.1093/mnras/stab2275
FRB20010630B,Parkes,No,18:27:41.0,,-51:27:44.0,,343.4328,-17.4159,217.9,129.1,89.1,https://doi.org/10.1093/mnras/stab2275
FRB19990511A,Parkes,No,18:30:56.0,,-38:42:56.0,,355.7999,-12.8951,169.6,185.3,118.1,https://doi.org/10.1093/mnras/stab2275
FRB20010124A,Parkes,No,18:32:28.0,,-43:38:08.0,,351.2853,-15.1554,196.7,153,101.2,https://doi.org/10.1093/mnras/stab2275
FRB20010702A,Parkes,No,18:47:53.0,,-46:35:41.0,,349.4568,-18.7726,105,118.5,81.8,https://doi.org/10.1093/mnras/stab2275
FRB20010125D,Parkes,No,18:51:02.0,,-37:19:48.0,,358.7352,-15.9797,255.3,144.3,95,https://doi.org/10.1093/mnras/stab2275
FRB20000725A,Parkes,No,18:52:50.0,,-06:52:08.0,,26.9697,-3.4349,503.9,593.3,366.5,https://doi.org/10.1093/mnras/stab2275
FRB20010706B,Parkes,No,19:13:18.0,,-29:27:26.0,,8.1672,-17.3411,170.1,128.4,86.3,https://doi.org/10.1093/mnras/stab2275
FRB19990514B,Parkes,No,19:19:55.0,,+01:56:38.0,,37.9275,-5.44,279.8,353.5,217.9,https://doi.org/10.1093/mnras/stab2275
FRB20010621C,Parkes,No,19:20:38.0,,+05:20:34.0,,41.0327,-4.0226,259.1,426.4,254.5,https://doi.org/10.1093/mnras/stab2275
FRB20010702B,Parkes,No,20:09:08.0,,+02:37:43.0,,44.4691,-15.948,197.2,107,85.3,https://doi.org/10.1093/mnras/stab2275
FRB20010701A,Parkes,No,20:11:37.0,,+00:04:49.0,,42.3034,-17.7995,270.3,96.8,76.7,https://doi.org/10.1093/mnras/stab2275
FRB20201130A,CHIME,Yes,04:17:33.6,0.01,+00:31:24.0,0.01,185.4,-29.0,287.984,56,69,https://doi.org/10.48550/arXiv.2301.08762
FRB20191106C,CHIME,Yes,13:18:19.2,0.01,+43:00:07.2,0.009,105.7,73.2,333.4,25,21,https://doi.org/10.48550/arXiv.2301.08762
FRB20200619A,CHIME,Yes,18:10:24.0,0.1,+55:33:36.0,0.06,84.0,27.8,439.772,51,45,https://doi.org/10.48550/arXiv.2301.08762
FRB20190804E,CHIME,Yes,17:25:21.6,0.02,+55:04:08.4,0.008,82.9,34.1,363.68,43,37,https://doi.org/10.48550/arXiv.2301.08762
FRB20190915D,CHIME,Yes,00:47:07.2,0.03,+46:51:35.9,0.02,122.2,-16.0,488.69,89,88,https://doi.org/10.48550/arXiv.2301.08762
FRB20200929C,CHIME,Yes,01:08:09.6,0.02,+18:28:12.0,0.01,128.5,-44.2,413.659,38,29,https://doi.org/10.48550/arXiv.2301.08762
FRB20201221B,CHIME,Yes,08:16:48.0,0.03,+48:46:48.0,0.02,170.5,33.8,510.42,51,46,https://doi.org/10.48550/arXiv.2301.08762
FRB20200809E,CHIME,Yes,01:20:04.3,0.1,+82:53:24.0,0.02,123.9,20.1,1703.48,74,83,https://doi.org/10.48550/arXiv.2301.08762
FRB20200223B,CHIME,Yes,00:33:03.6,0.008,+28:49:51.6,0.007,118.1,-33.9,202.268,46,37,https://doi.org/10.48550/arXiv.2301.08762
FRB20200202A,CHIME,Yes,01:43:43.2,0.02,+44:17:24.0,0.007,132.7,-17.6,722.37,83,84,https://doi.org/10.48550/arXiv.2301.08762
FRB20200420A,CHIME,Yes,00:30:16.8,0.04,+37:15:36.0,0.06,118.3,-25.4,671.5,58,50,https://doi.org/10.48550/arXiv.2301.08762
FRB20200127B,CHIME,Yes,07:56:48.0,0.1,+86:36:32.4,0.008,126.6,28.0,351.3,54,51,https://doi.org/10.48550/arXiv.2301.08762
FRB20201114A,CHIME,Yes,14:46:21.6,0.08,+71:47:24.0,0.03,111.2,42.6,322.23,38,31,https://doi.org/10.48550/arXiv.2301.08762
FRB20200118D,CHIME,Yes,07:07:38.4,0.01,+42:50:13.2,0.009,174.4,20.9,625.57,77,92,https://doi.org/10.48550/arXiv.2301.08762
FRB20181226F,CHIME,Yes,06:23:28.8,0.31,+83:47:59.9,0.47,129.8,26.2,241.887,58,56,https://doi.org/10.48550/arXiv.2301.08762
FRB20191013D,CHIME,Yes,02:41:40.8,0.02,+13:37:48.0,0.03,159.7,-41.3,523.57,43,36,https://doi.org/10.48550/arXiv.2301.08762
FRB20191114A,CHIME,Yes,18:14:16.8,0.03,+19:48:02.6,0.04,47.0,16.8,552.47,98,80,https://doi.org/10.48550/arXiv.2301.08762
FRB20200913C,CHIME,Yes,17:56:07.2,0.06,+65:47:59.9,0.03,95.5,30.2,576.88,48,43,https://doi.org/10.48550/arXiv.2301.08762
FRB20200926A,CHIME,Yes,18:53:07.2,0.2,+53:57:01.0,0.3,83.7,21.4,758.44,64,59,https://doi.org/10.48550/arXiv.2301.08762
FRB20181201D,CHIME,Yes,17:47:36.0,1,+89:07:30.0,0.13,121.98,27.37,448.266,53.8,50.9,https://www.chime-frb.ca/repeater_catalog
FRB20190812A,CHIME,Yes,17:52:12.0,0.22,+50:42:25.2,0.024,78.06,29.8,254.5239,48.4239,41.2239,https://www.chime-frb.ca/repeater_catalog
FRB20190905A,CHIME,Yes,04:53:05.0,0.059,+88:14:09.6,0.071,124.64,26.25,254.111,57.111,55.411,https://www.chime-frb.ca/repeater_catalog
FRB20191105B,CHIME,Yes,05:36:25.4,0.059,+72:31:08.4,0.017,140.6,20.42,318.6134,73.5134,83.7134,https://www.chime-frb.ca/repeater_catalog
FRB20200320A,CHIME,Yes,02:49:48.2,0.041,+15:50:38.4,0.067,160.2,-38.32,594.9314,45.6314,39.1314,https://www.chime-frb.ca/repeater_catalog
FRB20200508H,CHIME,Yes,03:38:24.0,0.49,+88:02:24.0,0.38,124.38,25.66,479.4861,58.0861,56.8861,https://www.chime-frb.ca/repeater_catalog
FRB20200828A,CHIME,Yes,07:36:19.2,0.44,+80:01:15.6,0.11,134.1,28.63,561.31,53.61,50.31,https://www.chime-frb.ca/repeater_catalog
FRB20210323C,CHIME,Yes,08:08:16.8,0.38,+72:20:59.9,0.39,142.57,31.55,288.48,50.48,45.38,https://www.chime-frb.ca/repeater_catalog
FRB20220912A,CHIME,Yes,23:09:09.6,0.04,+48:42:01.0,0.03,347.27,48.7,219.46,125,122,https://www.astronomerstelegram.org/?read=15679
FRB20201211A,MeerKAT,No,04:29:45.5,7.2e-4,-27:30:28.3,0.011,226.67,-41.92,972.49,39,37,https://doi.org/10.1093/mnras/stad2041
FRB20210202D,MeerKAT,No,19:46:48.7,0.002,-54:13:38.8,0.016,343.69,-29.63,609.16,69,51,https://doi.org/10.1093/mnras/stad2041
FRB20210408H,MeerKAT,No,13:37:18.3,9.2e-4,-28:17:02.9,0.014,315.05,33.51,1195.95,57,43,https://doi.org/10.1093/mnras/stad2041
FRB20210410D,MeerKAT,No,21:44:20.7,2.2e-4,-79:19:05.5,1.4e-4,312.32,-34.13,578.78,,,https://www.wis-tns.org/object/20210410d
FRB20210405I,MeerKAT,No,17:01:21.5,1.1e-4,-49:32:42.8,1.4e-4,338.19,-4.59,566.43,,348.7,https://www.wis-tns.org/object/20210405i
FRB20210407E,ASKAP,No,05:14:36.23,0.07,+27:03:29.7,0.07,177.8073,-6.7523,1785.3,154.0,,https://doi.org/10.48550/arXiv.2408.02083
FRB20210807D,ASKAP,No,19:56:53.07,0.15,-00:45:44.1,0.15,39.8612,-14.8775,251.9,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20210809C,ASKAP,No,18:04:38.0,0.18,+01:19:44.0,0.18,28.7365,11.0124,651.5,,,"[https://www.wis-tns.org/object/20210809c, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20210912A,ASKAP,No,23:23:10.44,0.15,-30:24:20.1,0.25,18.0709,-70.4142,1234.5,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20211127I,ASKAP,No,13:19:14.12,0.18,-18:50:16.5,0.18,312.0214,43.5427,234.83,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20211203C,ASKAP,No,13:38:15.00,0.23,-31:22:49.0,0.22,314.5185,30.4361,636.2,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20211212A,ASKAP,No,10:29:24.19,0.4,+01:21:37.6,0.4,244.0081,47.3154,206,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20220121B,DSA-110,No,05:38:24.0,3.4,+65:42:01.0,3.4,147.13,17.57,313.421,,,https://doi.org/10.25800/03mc-ce23
FRB20220204A,DSA-110,No,18:16:54.0,3.4,+69:43:21.00,3.4,102.26,27.06,612.584,,,https://doi.org/10.25800/js53-g526
FRB20220207C,DSA-110,No,20:40:47.9,1.75e-4,+72:52:56.4,1.75e-4,106.94,18.39,263,,,https://doi.org/10.25800/zmw2-1a16
FRB20220208A,DSA-110,No,21:30:18.0,3.4,+70:02:27.75,3.4,107.62,15.36,440.73,,,https://doi.org/10.25800/4xg5-8147
FRB20220307B,DSA-110,No,23:23:29.9,4.8e-4,+72:11:32.6,4.8e-4,116.24,10.47,499.328,,,https://doi.org/10.25800/zv3y-dq88
FRB20220310F,DSA-110,No,08:58:52.9,5.3e-4,+73:29:27.0,5.3e-4,140.02,34.8,462.657,,,https://doi.org/10.25800/pjkr-hv84
FRB20220319D,DSA-110,No,02:08:42.7,8.3e-5,+71:02:06.0,1.7e-4,129.18,9.11,110.95,,,https://doi.org/10.25800/jd3p-fs02
FRB20220330D,DSA-110,No,10:55:00.0,3.4,+70:21:02.70,3.4,134.18,42.93,467.788,,,https://doi.org/10.25800/y4t1-2771
FRB20220418A,DSA-110,No,14:36:25.3,3.8e-4,+70:05:45.4,3.8e-4,110.75,44.47,624.124,,,https://doi.org/10.25800/2zef-mh78
FRB20220424E,DSA-110,No,00:59:19.1,3.4,+71:30:48.4,3.4,123.56,8.65,863.932,,,https://doi.org/10.25800/9gfx-j068
FRB20220506D,DSA-110,No,21:12:10.8,3.1e-4,+72:49:38.2,3.1e-4,108.35,16.51,396.651,,,https://doi.org/10.25800/x4k9-8d28
FRB20220509G,DSA-110,No,18:50:40.8,6.1e-4,+70:14:37.8,6.1e-4,100.94,25.48,270.26,,,https://doi.org/10.25800/dp3e-6881
FRB20220531A,ASKAP,No,19:38:50.00,1,-60:17:48.0,0.02,336.6502,-29.1186,727,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20220726A,DSA-110,No,04:55:47.0,3.4,+69:55:44.80,3.4,139.97,17.57,686.232,,,https://doi.org/10.25800/71fc-q951
FRB20220801A,DSA-110,No,03:35:15.9,3.4,+71:33:34.9,3.4,135.2,12.71,413.416,,,https://doi.org/10.25800/9bc8-gb65
FRB20220825A,DSA-110,No,20:47:55.5,2.2e-4,+72:35:05.9,2.2e-4,106.99,17.79,649.893,,,https://doi.org/10.25800/b9zb-jz13
FRB20220831A,DSA-110,No,22:12:20.5,3.4,+71:32:15.2,3.4,110.96,12.47,1146.14,,,https://doi.org/10.25800/cnw8-4n46
FRB20220914A,DSA-110,No,18:48:13.6,2.6e-4,+73:20:12.9,2.6e-4,104.31,26.13,630.703,,,https://doi.org/10.25800/5t61-7z27
FRB20220920A,DSA-110,No,16:01:01.7,2.8e-4,+70:55:07.7,2.8e-4,104.92,38.89,314.98,,,https://doi.org/10.25800/cc59-xr81
FRB20220926A,DSA-110,No,22:06:54.1,3.4,+71:32:18.9,3.4,110.6,12.72,441.98,,,https://doi.org/10.25800/e2xb-fv58
FRB20221002A,DSA-110,No,18:24:39.7,3.4,+71:38:12.0,3.4,102.23,27.74,319.95,,,https://doi.org/10.25800/qwjb-s984
FRB20221012A,DSA-110,No,18:43:11.7,3.1e-4,+70:31:27.2,3.1e-4,101.14,26.14,440.36,,,https://doi.org/10.25800/tj9f-bc95
FRB20221027A,DSA-110,No,08:43:29.0,3.4,+72:06:03.50,3.4,142.66,33.96,452.72,,,https://doi.org/10.25800/aja4-8995
FRB20221029A,DSA-110,No,09:27:51.0,3.4,+72:27:08.34,3.4,140.39,38.01,1391.75,,,https://doi.org/10.25800/8jtm-kg91
FRB20221101A,DSA-110,No,05:02:29.5,9.4e-4,+71:37:08.8,9.4e-4,140.05,17.71,1475.53,,,https://doi.org/10.25800/rhx8-q229
FRB20221101B,DSA-110,No,22:48:52.0,3.4,+70:40:52.20,3.4,113.25,11.06,491.554,,,https://doi.org/10.25800/5047-7p24
FRB20221106A,ASKAP,No,03:46:49.15,0.18,-25:34:11.3,0.18,220.901,-50.8788,343.8,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20221128A,UTMOST,No,07:30:00.0,2,-41:32:00.0,0.017,177.1,24.45,505.6,400,250,https://astronomy.swin.edu.au/research/utmost/?p=2705
FRB20230521A,ASKAP,No,21:51:00.00,0.23,-02:23:10.0,0.28,54.827,-40.2822,640.2,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20230526A,ASKAP,No,01:28:55.83,0.17,-52:43:02.4,0.13,290.171,-63.4721,316.4,,,https://www.wis-tns.org/object/20230526a
FRB20230708A,ASKAP,No,20:12:27.73,0.17,-55:21:22.6,0.17,342.6288,-33.3877,411.51,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20230718A,ASKAP,No,08:32:38.86,1.33,-40:27:07.0,1.33,259.4629,-0.3666,477,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20230731A,ASKAP,No,11:38:24.35,0.25,-56:47:56.6,1,293.0206,4.6607,701.1,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20230814A,DSA-110,No,22:23:53.9,5.6e-4,+73:01:33.3,2.8e-4,112.56,13.2,696.411,,,https://doi.org/10.25800/mcd2-kd69
FRB20230902A,ASKAP,No,03:28:33.55,0.32,-47:20:00.6,0.45,256.9906,-53.3387,440.1,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20210126A,FAST,No,19:05:37.1,0.025,+09:41:05.0,0.025,43.1595,1.287,1990.4,1266,1273,https://doi.org/10.1093/mnras/stad2769
FRB20210208A,FAST,No,19:02:49.3,0.025,+13:24:53.0,0.025,46.1672,3.6008,1448.4,1016,1023,https://doi.org/10.1093/mnras/stad2769
FRB20210705A,FAST,No,20:12:26.8,0.025,+38:58:29.0,0.025,76.0306,2.7112,2011.6,1528,1678,https://doi.org/10.1093/mnras/stad2769
FRB20211005A,FAST,No,19:45:22.4,0.025,+24:07:56.0,0.025,60.377,-0.1694,2765.2,2237,2253,https://doi.org/10.1093/mnras/stad2769
FRB20220306A,FAST,No,19:46:45.0,0.25,+22:59:14.0,0.025,59.545,-1.017,1273.9,820,769,https://doi.org/10.1093/mnras/stad2769
FRB20231006A,ASKAP,No,19:44:01.00,0.22,-64:38:56.0,0.004,331.6853,-29.916,509.7,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20200317A,FAST,No,16:22:45.0,0.025,+56:44:50.0,0.025,86.56,42.55,850.7,52.2,34.8,https://www.astronomerstelegram.org/?read=16251
FRB20231226A,ASKAP,No,10:21:27.30,0.5,+06:06:36.9,0.2,236.5768,48.6458,329.9,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20240114A,CHIME,Yes,21:27:39.9,0.0087,+04:21:00.4,0.0124,57.73,-31.68,527.7,,,https://www.astronomerstelegram.org/?read=16420
FRB20240229A,DSA-110,No,11:34:56.3,3.4,+71:47:01.7,3.4,131.13,44.11,491.554,,,https://www.wis-tns.org/object/20240229a
FRB20221203A,DSA-110,No,20:57:10.8,3.4,+71:33:39.7,3.4,106.58,16.6,602.715,,,https://doi.org/10.25800/v0me-yp06
FRB20221219A,DSA-110,No,17:10:31.0,3.4,+71:37:36.63,3.4,103.19,34.07,706.708,,,https://doi.org/10.25800/zwre-f472
FRB20230124A,DSA-110,No,15:27:40.0,3.4,+70:58:05.20,3.4,107.55,40.25,590.574,,,https://doi.org/10.25800/mvef-jx26
FRB20230216A,DSA-110,No,10:25:53.0,3.4,+03:26:12.57,3.4,242.6,46.33,828.289,,,https://doi.org/10.25800/jsm1-8876
FRB20230307A,DSA-110,No,11:51:08.0,3.4,+71:41:44.30,3.4,127.35,45.0,608.854,,,https://doi.org/10.25800/vmyz-bw14
FRB20230501A,DSA-110,No,22:40:07.0,3.4,+70:55:19.82,3.4,112.43,11.51,532.471,,,https://doi.org/10.25800/db06-3y83
FRB20230521B,DSA-110,No,23:18:42.8,3.4,+71:31:19.1,3.4,115.65,9.97,1342.88,,,https://doi.org/10.25800/5tf2-1d11
FRB20230626A,DSA-110,No,15:42:31.0,3.4,+71:08:00.77,3.4,105.68,38.34,452.723,,,https://doi.org/10.25800/53b2-d260
FRB20230628A,DSA-110,No,11:07:09.0,3.4,+72:16:54.64,3.4,135.48,42.21,344.952,,,https://doi.org/10.25800/38ym-5t25
FRB20230712A,DSA-110,No,11:09:26.0,3.4,+72:33:28.02,3.4,132.31,43.69,587.567,,,https://doi.org/10.25800/180g-bx08
FRB20230814B,DSA-110,No,22:16:49.1,3.4,+71:31:54.0,3.4,111.25,12.26,696.411,,,https://doi.org/10.25800/36j8-s097
FRB20231120A,DSA-110,No,09:35:56.0,3.4,+73:17:04.80,3.4,140.43,37.94,437.737,,,https://doi.org/10.25800/3ghe-8e93
FRB20231123B,DSA-110,No,16:10:09.0,3.4,+70:47:06.20,3.4,105.71,38.38,396.857,,,https://doi.org/10.25800/6gfg-3s29
