Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20181128B,CHIME,No,10:28:52.8,0.2,+38:16:48.0,0.048,183.27,58.24,456.548,33.548,20.648,https://www.chime-frb.ca/catalog
FRB20181228D,UTMOST,No,06:09:23.6,,-45:58:02.4,,253.35,-26.15,354.2,58,,https://doi.org/10.1093/mnras/stz1748
FRB20190106A,CHIME,No,01:28:45.6,0.24,+46:07:12.0,0.25,129.65,-16.26,340.061,88.861,90.561,https://www.chime-frb.ca/catalog
FRB20190118A,CHIME,No,16:53:14.4,0.029,+11:33:00.0,0.084,30.1,31.42,225.10795,53.40795,42.70795,https://www.chime-frb.ca/catalog
FRB20190128A,CHIME,No,01:27:12.0,0.21,+24:40:12.0,0.065,133.18,-37.49,696.117,43.617,34.517,https://www.chime-frb.ca/catalog
FRB20190129A,CHIME,No,03:00:14.4,0.21,+21:25:12.0,0.23,158.87,-32.31,484.761,52.061,46.961,https://www.chime-frb.ca/catalog
FRB20190202B,CHIME,No,07:37:16.8,0.039,+32:27:00.0,0.18,187.06,23.2,464.906,70.106,85.506,https://www.chime-frb.ca/catalog
FRB20190210C,CHIME,Yes,19:43:00.0,0.24,+89:06:00.0,0.25,121.95,26.92,643.3669,55.2669,52.6669,https://www.chime-frb.ca/catalog
FRB20190224B,CHIME,No,17:52:57.6,0.24,+82:34:12.0,0.35,114.73,28.76,839.3674,51.3674,47.0674,https://www.chime-frb.ca/catalog
FRB20190227B,CHIME,No,14:42:09.6,0.23,+39:48:00.0,0.081,68.95,63.82,331.2289,23.9289,22.2289,https://www.chime-frb.ca/catalog
FRB20190317A,CHIME,No,05:49:45.6,0.23,+44:39:36.0,0.23,166.86,8.75,1157.2595,137.9595,193.1595,https://www.chime-frb.ca/catalog
FRB20190320E,CHIME,No,05:06:33.6,0.16,+89:09:36.0,0.2,123.78,26.75,299.135,55.835,53.435,https://www.chime-frb.ca/catalog
FRB20190404B,CHIME,No,17:19:09.6,0.11,+40:00:00.0,0.13,64.63,34.07,489.42307,45.02307,35.92307,https://www.chime-frb.ca/catalog
FRB20190417B,CHIME,No,11:39:28.8,0.2,+64:43:12.0,0.21,134.95,50.7,1161.2,35,26.1,https://www.chime-frb.ca/catalog
FRB20190423D,CHIME,No,01:58:45.6,0.19,+84:48:00.0,0.22,124.56,22.14,496.455,66.155,69.755,https://www.chime-frb.ca/catalog
FRB20190519G,CHIME,No,20:26:43.2,0.1,+72:20:24.0,0.17,105.86,18.99,430.094,73.494,79.194,https://www.chime-frb.ca/catalog
FRB20190531B,CHIME,No,17:19:38.4,0.006,+49:19:12.0,0.13,75.9,34.89,167.9597,43.0597,35.3597,https://www.chime-frb.ca/catalog
FRB20190612C,CHIME,No,05:16:28.8,0.031,+61:00:36.0,0.13,150.02,13.01,1641.5697,107.7697,143.2697,https://www.chime-frb.ca/catalog
FRB20190614D,VLA,No,04:20:18.1,2.2e-4,+73:42:24.2,1.1e-4,136.3,16.5,959.2,83.5,,https://www.wis-tns.org/object/20190614d
FRB20190617C,CHIME,No,08:57:28.8,0.21,+35:42:00.0,0.21,187.73,40.08,640.156,45.356,37.256,https://www.chime-frb.ca/catalog
